Date,result,rsi_7,rsi_14,roc_7,golden_cross_sma_25_75,golden_cross_sma_5_25,bband_signal
2017-06-19,0.0,65.44600320074935,61.82731488581524,0.7774538386783325,0.0,0.0,0.0
2017-06-20,0.0,73.2418085021711,66.02324612722342,1.015473887814311,0.0,0.0,0.0
2017-06-21,0.0,62.3082018807489,61.19401464279011,1.0695187165775444,0.0,0.0,0.0
2017-06-22,0.0,60.21092173340104,60.24490550068812,1.021400778210113,0.0,0.0,0.0
2017-06-23,0.0,61.71438774230001,60.8980219493411,1.1678832116788218,0.0,0.0,0.0
2017-06-26,0.0,63.33089206264585,61.57779631727702,1.5121951219512209,0.0,0.0,0.0
2017-06-27,0.0,68.7232395510824,63.940649231886894,1.3100436681222627,0.0,0.0,0.0
2017-06-28,0.0,61.22091117885745,61.052532457365416,0.433944069431047,0.0,0.0,0.0
2017-06-29,0.0,67.08913382845884,63.53576576067576,0.047869794159893786,0.0,0.0,0.0
2017-06-30,0.0,46.14193215756141,54.00120110648399,-0.33670033670033517,0.0,0.0,0.0
2017-07-03,0.0,47.21024333842859,54.41051778139473,-0.1925854597977894,0.0,0.0,0.0
2017-07-04,0.0,45.12185740784281,53.387305770889895,-0.3848003848003878,0.0,0.0,0.0
2017-07-05,0.0,27.865002643639336,42.949546382585254,-1.6338298894762127,0.0,0.0,0.0
2017-07-06,0.0,24.656256219732498,40.464605456885096,-2.298850574712641,0.0,0.0,1.0
2017-07-07,0.0,22.110194790195294,38.41309075561955,-2.352376380220833,0.0,0.0,1.0
2017-07-10,0.0,40.13917747630556,45.80989323932529,-1.9617224880382755,0.0,0.0,0.0
2017-07-11,0.0,48.48587989597183,49.71247330916276,-0.6756756756756799,0.0,0.0,0.0
2017-07-12,0.0,42.360566958035086,46.506377550294346,-1.1095031355523366,0.0,0.0,0.0
2017-07-13,0.0,42.360566958035086,46.50637755029435,-1.014002897151134,0.0,0.0,0.0
2017-07-14,0.0,45.85212499069633,47.96586411034694,0.2931118710307823,0.0,0.0,0.0
2017-07-18,0.0,34.480418074704595,42.18201589624437,-0.04901960784313708,0.0,0.0,0.0
2017-07-19,0.0,38.30559874810057,43.7473445856776,0.3933136676499416,0.0,0.0,0.0
2017-07-20,0.0,51.51528406064712,49.62255484183776,0.24402147388971063,0.0,0.0,0.0
2017-07-21,0.0,47.55548735758046,47.82931661001412,-0.38872691933916625,0.0,0.0,0.0
2017-07-24,0.0,36.82327317697264,42.45903529946668,-0.6341463414634152,0.0,0.0,0.0
2017-07-25,0.0,36.09229133974101,42.06775005019626,-0.6829268292682933,0.0,0.0,0.0
2017-07-26,0.0,47.11537124113011,46.81798744999163,-0.3896736483195329,0.0,0.0,0.0
2017-07-27,0.0,48.27196272225224,47.33471489911359,0.343305541932315,0.0,0.0,0.0
2017-07-28,0.0,36.95655822918114,42.05424540203605,-0.3917727717923647,0.0,0.0,0.0
2017-07-31,0.0,35.345522858355736,41.228728169761894,-1.071080817916259,0.0,0.0,0.0
2017-08-01,0.0,43.90429068376977,44.73368554363076,-0.5853658536585371,0.0,0.0,0.0
2017-08-02,0.0,56.2824636203097,50.555540764356664,0.589101620029453,0.0,0.0,0.0
2017-08-03,0.0,48.35992029407367,47.15156070053093,0.29469548133596035,0.0,0.0,0.0
2017-08-04,0.0,40.71778969621295,43.54315951710725,-0.5378973105134466,0.0,0.0,0.0
2017-08-07,0.0,52.70666200098728,49.28965049993827,-0.04887585532746819,0.0,0.0,0.0
2017-08-08,0.0,45.826167811937495,46.075638042007164,0.1966568338249708,0.0,0.0,0.0
2017-08-09,0.0,29.68150940105099,36.83708893299292,-0.9350393700787385,0.0,0.0,1.0
2017-08-10,0.0,28.73660566827652,36.211550206790584,-1.3248282630029418,0.0,0.0,1.0
2017-08-14,0.0,20.954126939330077,30.613175495386045,-2.830649097120541,0.0,0.0,1.0
2017-08-15,0.0,43.3341557053297,42.56618369257596,-1.2732615083251742,0.0,0.0,0.0
2017-08-16,0.0,41.68197420142039,41.639207480830876,-1.0324483775811188,0.0,0.0,0.0
2017-08-17,0.0,38.80515617520023,40.072861618730755,-1.8092909535452284,0.0,0.0,0.0
2017-08-18,0.0,28.653424832995473,34.010574077493914,-2.5515210991167825,0.0,0.0,1.0
2017-08-21,0.0,26.11713775573355,32.334429705999305,-1.6890213611525096,0.0,0.0,1.0
2017-08-22,0.0,25.737441777776166,32.09111469305345,-1.6409746394828395,0.0,0.0,1.0
2017-08-23,0.0,30.455669810462556,34.22327865125177,-0.45203415369161615,0.0,0.0,0.0
2017-08-24,0.0,26.523623213491625,32.05551731964729,-2.083333333333337,0.0,0.0,0.0
2017-08-25,0.0,39.130312772940584,37.88185573265937,-1.3909587680079438,0.0,0.0,0.0
2017-08-28,0.0,39.130312772940584,37.88185573265937,-1.145418326693226,0.0,0.0,0.0
